task,algo1,algo2,test,alpha,target_n,fpr,se,expected_fpr
Hopper-v5,SAC,PPO,Mann-Whitney,0.01,10,0.016,0.003967870965643918,0.01
Hopper-v5,SAC,PPO,Ranked t-test,0.01,10,0.019,0.004317290817167636,0.01
Hopper-v5,SAC,PPO,bootstrap,0.01,10,0.04,0.0061967733539318665,0.01
Hopper-v5,SAC,PPO,permutation,0.01,10,0.012,0.003443254274665175,0.01
Hopper-v5,SAC,PPO,t-test,0.01,20,0.008,0.0028170906978654416,0.01
Hopper-v5,SAC,PPO,Welch t-test,0.01,20,0.004,0.001995995991979944,0.01
Hopper-v5,SAC,PPO,Mann-Whitney,0.01,20,0.031,0.0054807846153630225,0.01
Hopper-v5,SAC,PPO,Ranked t-test,0.01,20,0.044,0.006485676526007136,0.01
Hopper-v5,SAC,PPO,bootstrap,0.01,20,0.019,0.004317290817167636,0.01
Hopper-v5,SAC,PPO,permutation,0.01,20,0.016,0.003967870965643918,0.01
Hopper-v5,SAC,PPO,t-test,0.01,30,0.007,0.0026364749192814255,0.01
Hopper-v5,SAC,PPO,Welch t-test,0.01,30,0.009,0.002986469487538756,0.01
Hopper-v5,SAC,PPO,Mann-Whitney,0.01,30,0.063,0.007683163410991596,0.01
Hopper-v5,SAC,PPO,Ranked t-test,0.01,30,0.054,0.007147307185227175,0.01
Hopper-v5,SAC,PPO,bootstrap,0.01,30,0.018,0.004204283529925164,0.01
Hopper-v5,SAC,PPO,permutation,0.01,30,0.013,0.003582038525755969,0.01
Hopper-v5,TD3,DDPG,t-test,0.05,2,0.098,0.009401914698613257,0.05
Hopper-v5,TD3,DDPG,Welch t-test,0.05,2,0.05,0.006892024376045111,0.05
Hopper-v5,TD3,DDPG,Mann-Whitney,0.05,2,0.0,0.0,0.05
Hopper-v5,TD3,DDPG,Ranked t-test,0.05,2,0.0,0.0,0.05
Hopper-v5,TD3,DDPG,bootstrap,0.05,2,0.426,0.015637263187655313,0.05
Hopper-v5,TD3,DDPG,permutation,0.05,2,0.418,0.015597307459943206,0.05
Hopper-v5,TD3,DDPG,t-test,0.05,3,0.091,0.009094998625618368,0.05
Hopper-v5,TD3,DDPG,Welch t-test,0.05,3,0.046,0.006624499981130651,0.05
Hopper-v5,TD3,DDPG,Mann-Whitney,0.05,3,0.0,0.0,0.05
Hopper-v5,TD3,DDPG,Ranked t-test,0.05,3,0.132,0.010704017937204702,0.05
Hopper-v5,TD3,DDPG,bootstrap,0.05,3,0.243,0.013562853682024296,0.05
Hopper-v5,TD3,DDPG,permutation,0.05,3,0.177,0.012069424178476784,0.05
Hopper-v5,TD3,DDPG,t-test,0.05,5,0.094,0.009228434320078352,0.05
Hopper-v5,TD3,DDPG,Welch t-test,0.05,5,0.059,0.007451107300260815,0.05
Hopper-v5,TD3,DDPG,Mann-Whitney,0.05,5,0.033,0.005648982209212559,0.05
Hopper-v5,TD3,DDPG,Ranked t-test,0.05,5,0.059,0.007451107300260815,0.05
Hopper-v5,TD3,DDPG,bootstrap,0.05,5,0.149,0.01126050620531777,0.05
Hopper-v5,TD3,DDPG,permutation,0.05,5,0.097,0.00935900635751467,0.05
Hopper-v5,TD3,DDPG,t-test,0.05,10,0.07,0.008068457101577725,0.05
Hopper-v5,TD3,DDPG,Welch t-test,0.05,10,0.065,0.007795832219846705,0.05
Hopper-v5,TD3,DDPG,Mann-Whitney,0.05,10,0.062,0.007626008130076967,0.05
Hopper-v5,TD3,DDPG,Ranked t-test,0.05,10,0.082,0.008676174272108648,0.05
Hopper-v5,TD3,DDPG,bootstrap,0.05,10,0.103,0.009612023720320296,0.05
Hopper-v5,TD3,DDPG,permutation,0.05,10,0.067,0.007906389820898032,0.05
Hopper-v5,TD3,DDPG,t-test,0.05,20,0.065,0.007795832219846705,0.05
Hopper-v5,TD3,DDPG,Welch t-test,0.05,20,0.064,0.007739767438366608,0.05
