task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,2.0,2,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,2.0,2,0.838,0.011651437679531227
Humanoid-v5,SAC,TD3,permutation,0.01,2.0,2,0.833,0.01179453263168999
Humanoid-v5,SAC,TD3,t-test,0.01,2.0,3,0.266,0.013972973913952606
Humanoid-v5,SAC,TD3,Welch t-test,0.01,2.0,3,0.104,0.009653186002558949
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,2.0,3,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,2.0,3,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,2.0,3,0.745,0.013783141876945184
Humanoid-v5,SAC,TD3,permutation,0.01,2.0,3,0.633,0.015241751867813621
Humanoid-v5,SAC,TD3,t-test,0.01,2.0,5,0.504,0.01581088232832058
Humanoid-v5,SAC,TD3,Welch t-test,0.01,2.0,5,0.303,0.014532412050310162
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,2.0,5,0.517,0.01580224667571039
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,2.0,5,0.542,0.015755506973753653
Humanoid-v5,SAC,TD3,bootstrap,0.01,2.0,5,0.802,0.012601428490452976
Humanoid-v5,SAC,TD3,permutation,0.01,2.0,5,0.595,0.015523369479594306
Humanoid-v5,SAC,TD3,t-test,0.01,2.0,10,0.933,0.007906389820898028
Humanoid-v5,SAC,TD3,Welch t-test,0.01,2.0,10,0.882,0.01020176455325254
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,2.0,10,0.737,0.013922320208930694
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,2.0,10,0.78,0.01309961831505025
Humanoid-v5,SAC,TD3,bootstrap,0.01,2.0,10,0.991,0.0029864694875387575
Humanoid-v5,SAC,TD3,permutation,0.01,2.0,10,0.945,0.007209368904418752
Humanoid-v5,SAC,TD3,t-test,0.01,2.0,20,1.0,0.0
Humanoid-v5,SAC,TD3,Welch t-test,0.01,2.0,20,0.999,0.0009994998749374613
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,2.0,20,0.991,0.0029864694875387575
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,2.0,20,0.992,0.0028170906978654425
Humanoid-v5,SAC,TD3,bootstrap,0.01,2.0,20,1.0,0.0
Humanoid-v5,SAC,TD3,permutation,0.01,2.0,20,1.0,0.0
Humanoid-v5,SAC,TD3,t-test,0.01,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,Welch t-test,0.01,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,permutation,0.01,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,t-test,0.01,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,Welch t-test,0.01,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,permutation,0.01,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,t-test,0.01,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Welch t-test,0.01,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,permutation,0.01,2.0,100,1.0,0.0
Humanoid-v5,SAC,DDPG,t-test,0.05,0.5,2,0.126,0.010493998284733994
Humanoid-v5,SAC,DDPG,Welch t-test,0.05,0.5,2,0.066,0.007851369307324678
Humanoid-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,2,0.0,0.0
Humanoid-v5,SAC,DDPG,Ranked t-test,0.05,0.5,2,0.0,0.0
Humanoid-v5,SAC,DDPG,bootstrap,0.05,0.5,2,0.497,0.01581110369329099
Humanoid-v5,SAC,DDPG,permutation,0.05,0.5,2,0.522,0.015796075461962062
Humanoid-v5,SAC,DDPG,t-test,0.05,0.5,3,0.113,0.01001154333756789
Humanoid-v5,SAC,DDPG,Welch t-test,0.05,0.5,3,0.075,0.008329165624478841
Humanoid-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,3,0.0,0.0
Humanoid-v5,SAC,DDPG,Ranked t-test,0.05,0.5,3,0.254,0.013765318739498916
Humanoid-v5,SAC,DDPG,bootstrap,0.05,0.5,3,0.312,0.014651143300097777
Humanoid-v5,SAC,DDPG,permutation,0.05,0.5,3,0.244,0.013581752464244074
Humanoid-v5,SAC,DDPG,t-test,0.05,0.5,5,0.15,0.011291589790636216
Humanoid-v5,SAC,DDPG,Welch t-test,0.05,0.5,5,0.082,0.008676174272108648
Humanoid-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,5,0.102,0.009570579919733181
Humanoid-v5,SAC,DDPG,Ranked t-test,0.05,0.5,5,0.118,0.01020176455325254
Humanoid-v5,SAC,DDPG,bootstrap,0.05,0.5,5,0.259,0.013853483316480371
Humanoid-v5,SAC,DDPG,permutation,0.05,0.5,5,0.176,0.012042591083317577
