task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Humanoid-v5,SAC,TD3,t-test,0.01,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Welch t-test,0.01,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,permutation,0.01,2.0,100,1.0,0.0
Humanoid-v5,SAC,DDPG,t-test,0.05,0.5,2,0.143,0.011070275515993266
Humanoid-v5,SAC,DDPG,Welch t-test,0.05,0.5,2,0.066,0.007851369307324678
Humanoid-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,2,0.0,0.0
Humanoid-v5,SAC,DDPG,Ranked t-test,0.05,0.5,2,0.0,0.0
Humanoid-v5,SAC,DDPG,bootstrap,0.05,0.5,2,0.506,0.015810249839898167
Humanoid-v5,SAC,DDPG,permutation,0.05,0.5,2,0.525,0.015791611697353755
Humanoid-v5,SAC,DDPG,t-test,0.05,0.5,3,0.129,0.010599952830083727
Humanoid-v5,SAC,DDPG,Welch t-test,0.05,0.5,3,0.074,0.00827792244467173
Humanoid-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,3,0.0,0.0
Humanoid-v5,SAC,DDPG,Ranked t-test,0.05,0.5,3,0.27,0.014039230748157109
Humanoid-v5,SAC,DDPG,bootstrap,0.05,0.5,3,0.298,0.014463609508003178
Humanoid-v5,SAC,DDPG,permutation,0.05,0.5,3,0.248,0.01365635383255721
Humanoid-v5,SAC,DDPG,t-test,0.05,0.5,5,0.165,0.011737759581794134
Humanoid-v5,SAC,DDPG,Welch t-test,0.05,0.5,5,0.093,0.009184280047995052
Humanoid-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,5,0.096,0.009315793041926168
Humanoid-v5,SAC,DDPG,Ranked t-test,0.05,0.5,5,0.123,0.010386096475577337
