task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Hopper-v5,SAC,DDPG,Welch t-test,0.05,2.0,30,1.0,0.0
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,2.0,30,1.0,0.0
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,2.0,30,1.0,0.0
Hopper-v5,SAC,DDPG,t-test,0.01,0.5,2,0.031,0.0054807846153630225
Hopper-v5,SAC,DDPG,Welch t-test,0.01,0.5,2,0.01,0.003146426544510455
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,0.5,2,0.0,0.0
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,0.5,2,0.0,0.0
Hopper-v5,SAC,DDPG,t-test,0.01,0.5,3,0.015,0.003843826218756514
Hopper-v5,SAC,DDPG,Welch t-test,0.01,0.5,3,0.006,0.002442130217658346
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,0.5,3,0.0,0.0
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,0.5,3,0.001,0.0009994998749374609
Hopper-v5,SAC,DDPG,t-test,0.01,0.5,5,0.011,0.003298332912245215
Hopper-v5,SAC,DDPG,Welch t-test,0.01,0.5,5,0.009,0.002986469487538756
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,0.5,5,0.024,0.004839834707921336
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,0.5,5,0.08,0.008579044235810887
Hopper-v5,SAC,DDPG,t-test,0.01,0.5,10,0.025,0.0049371044145328745
Hopper-v5,SAC,DDPG,Welch t-test,0.01,0.5,10,0.028,0.005216895628628198
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,0.5,10,0.102,0.009570579919733181
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,0.5,10,0.153,0.011383804285035824
Hopper-v5,SAC,DDPG,t-test,0.01,0.5,20,0.116,0.010126401137620413
Hopper-v5,SAC,DDPG,Welch t-test,0.01,0.5,20,0.139,0.010939789760319894
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,0.5,20,0.316,0.014701836619960105
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,0.5,20,0.367,0.015241751867813621
Hopper-v5,SAC,DDPG,t-test,0.01,0.5,30,0.222,0.013142145943490356
Hopper-v5,SAC,DDPG,Welch t-test,0.01,0.5,30,0.226,0.013225883713385657
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,0.5,30,0.504,0.01581088232832058
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,0.5,30,0.546,0.015744332313566048
Hopper-v5,SAC,DDPG,t-test,0.01,1.0,2,0.036,0.005891010100144117
Hopper-v5,SAC,DDPG,Welch t-test,0.01,1.0,2,0.018,0.004204283529925164
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,1.0,2,0.0,0.0
