task,algo1,algo2,test,alpha,target_n,fpr,se,expected_fpr
Hopper-v5,SAC,PPO,bootstrap,0.05,20,0.064,0.007739767438366608,0.05
Hopper-v5,SAC,PPO,permutation,0.05,20,0.046,0.006624499981130651,0.05
Hopper-v5,SAC,PPO,t-test,0.05,30,0.058,0.007391616873188166,0.05
Hopper-v5,SAC,PPO,Welch t-test,0.05,30,0.045,0.0065555320150236475,0.05
Hopper-v5,SAC,PPO,Mann-Whitney,0.05,30,0.183,0.012227469075814503,0.05
Hopper-v5,SAC,PPO,Ranked t-test,0.05,30,0.188,0.012355403676124872,0.05
Hopper-v5,SAC,PPO,bootstrap,0.05,30,0.063,0.007683163410991596,0.05
Hopper-v5,SAC,PPO,permutation,0.05,30,0.041,0.006270486424512854,0.05
Hopper-v5,SAC,PPO,t-test,0.01,2,0.029,0.005306505441436953,0.01
Hopper-v5,SAC,PPO,Welch t-test,0.01,2,0.009,0.002986469487538756,0.01
Hopper-v5,SAC,PPO,Mann-Whitney,0.01,2,0.0,0.0,0.01
Hopper-v5,SAC,PPO,Ranked t-test,0.01,2,0.0,0.0,0.01
Hopper-v5,SAC,PPO,bootstrap,0.01,2,0.403,0.01551099609954177,0.01
Hopper-v5,SAC,PPO,permutation,0.01,2,0.417,0.015592017188292218,0.01
Hopper-v5,SAC,PPO,t-test,0.01,3,0.038,0.006046155803483731,0.01
Hopper-v5,SAC,PPO,Welch t-test,0.01,3,0.015,0.003843826218756514,0.01
Hopper-v5,SAC,PPO,Mann-Whitney,0.01,3,0.0,0.0,0.01
Hopper-v5,SAC,PPO,Ranked t-test,0.01,3,0.0,0.0,0.01
Hopper-v5,SAC,PPO,bootstrap,0.01,3,0.163,0.011680368144883106,0.01
Hopper-v5,SAC,PPO,permutation,0.01,3,0.15,0.011291589790636216,0.01
Hopper-v5,SAC,PPO,t-test,0.01,5,0.014,0.003715373467095872,0.01
Hopper-v5,SAC,PPO,Welch t-test,0.01,5,0.008,0.0028170906978654416,0.01
Hopper-v5,SAC,PPO,Mann-Whitney,0.01,5,0.013,0.003582038525755969,0.01
Hopper-v5,SAC,PPO,Ranked t-test,0.01,5,0.029,0.005306505441436953,0.01
Hopper-v5,SAC,PPO,bootstrap,0.01,5,0.077,0.00843036179532053,0.01
Hopper-v5,SAC,PPO,permutation,0.01,5,0.042,0.0063431853196954605,0.01
Hopper-v5,SAC,PPO,t-test,0.01,10,0.01,0.003146426544510455,0.01
Hopper-v5,SAC,PPO,Welch t-test,0.01,10,0.008,0.0028170906978654416,0.01
Hopper-v5,SAC,PPO,Mann-Whitney,0.01,10,0.022,0.0046385342512479085,0.01
Hopper-v5,SAC,PPO,Ranked t-test,0.01,10,0.03,0.005394441583704471,0.01
Hopper-v5,SAC,PPO,bootstrap,0.01,10,0.029,0.005306505441436953,0.01
Hopper-v5,SAC,PPO,permutation,0.01,10,0.016,0.003967870965643918,0.01
Hopper-v5,SAC,PPO,t-test,0.01,20,0.011,0.003298332912245215,0.01
Hopper-v5,SAC,PPO,Welch t-test,0.01,20,0.008,0.0028170906978654416,0.01
Hopper-v5,SAC,PPO,Mann-Whitney,0.01,20,0.045,0.0065555320150236475,0.01
Hopper-v5,SAC,PPO,Ranked t-test,0.01,20,0.043,0.006414904519944158,0.01
Hopper-v5,SAC,PPO,bootstrap,0.01,20,0.016,0.003967870965643918,0.01
Hopper-v5,SAC,PPO,permutation,0.01,20,0.009,0.002986469487538756,0.01
Hopper-v5,SAC,PPO,t-test,0.01,30,0.014,0.003715373467095872,0.01
Hopper-v5,SAC,PPO,Welch t-test,0.01,30,0.013,0.003582038525755969,0.01
Hopper-v5,SAC,PPO,Mann-Whitney,0.01,30,0.06,0.007509993342207435,0.01
Hopper-v5,SAC,PPO,Ranked t-test,0.01,30,0.062,0.007626008130076967,0.01
Hopper-v5,SAC,PPO,bootstrap,0.01,30,0.015,0.003843826218756514,0.01
Hopper-v5,SAC,PPO,permutation,0.01,30,0.008,0.0028170906978654416,0.01
Hopper-v5,TD3,DDPG,t-test,0.05,2,0.121,0.010313049985334114,0.05
Hopper-v5,TD3,DDPG,Welch t-test,0.05,2,0.061,0.0075682891065286355,0.05
Hopper-v5,TD3,DDPG,Mann-Whitney,0.05,2,0.0,0.0,0.05
Hopper-v5,TD3,DDPG,Ranked t-test,0.05,2,0.0,0.0,0.05
Hopper-v5,TD3,DDPG,bootstrap,0.05,2,0.377,0.01532550162311172,0.05
Hopper-v5,TD3,DDPG,permutation,0.05,2,0.387,0.015402305022301045,0.05
Hopper-v5,TD3,DDPG,t-test,0.05,3,0.097,0.00935900635751467,0.05
Hopper-v5,TD3,DDPG,Welch t-test,0.05,3,0.066,0.007851369307324678,0.05
Hopper-v5,TD3,DDPG,Mann-Whitney,0.05,3,0.0,0.0,0.05
Hopper-v5,TD3,DDPG,Ranked t-test,0.05,3,0.131,0.010669536072388528,0.05
Hopper-v5,TD3,DDPG,bootstrap,0.05,3,0.231,0.013328128150644412,0.05
Hopper-v5,TD3,DDPG,permutation,0.05,3,0.164,0.011709141727727102,0.05
Hopper-v5,TD3,DDPG,t-test,0.05,5,0.082,0.008676174272108648,0.05
