task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,100,0.773,0.013246546719805883
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,100,0.78,0.01309961831505025
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,100,0.808,0.01245536029185828
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,100,0.791,0.012857643641040918
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,100,0.824,0.012042591083317579
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,100,0.788,0.012925014506761683
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,2,0.065,0.007795832219846705
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,2,0.023,0.004740358636221525
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,2,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,2,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,2,0.55,0.015732132722552274
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,2,0.576,0.015627667772255716
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,3,0.093,0.009184280047995052
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,3,0.038,0.006046155803483731
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,3,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,3,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,3,0.434,0.015673034167001616
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,3,0.336,0.014936666294725875
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,5,0.145,0.01113440613593738
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,5,0.066,0.007851369307324678
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,5,0.202,0.012696298673235441
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,5,0.239,0.01348625225924534
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,5,0.364,0.015215255502291114
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,5,0.201,0.012672766075328622
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,10,0.267,0.013989674763910703
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,10,0.198,0.012601428490452978
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,10,0.308,0.014599178059055242
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,10,0.337,0.014947608504372866
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,10,0.415,0.015581238718407466
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,10,0.329,0.014857960829131298
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,20,0.634,0.01523299051401267
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,20,0.55,0.015732132722552274
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,20,0.674,0.01482309009619789
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,20,0.695,0.014559361249725209
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,20,0.727,0.014087973594523805
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,20,0.657,0.015011695440555674
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,30,0.862,0.01090669519148674
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,30,0.839,0.011622349160131098
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,30,0.855,0.011134406135937382
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,30,0.883,0.010164201887015036
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,30,0.898,0.009570579919733181
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,30,0.855,0.011134406135937382
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,50,0.986,0.0037153734670958734
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,50,0.982,0.004204283529925166
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,50,0.986,0.0037153734670958734
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,50,0.983,0.004087909000944127
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,50,0.989,0.0032983329122452166
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,50,0.982,0.004204283529925166
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,t-test,0.01,2.0,2,0.13,0.010634848376916336
Humanoid-v5,SAC,TD3,Welch t-test,0.01,2.0,2,0.045,0.0065555320150236475
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,2.0,2,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,2.0,2,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,2.0,2,0.801,0.012625331678811452
Humanoid-v5,SAC,TD3,permutation,0.01,2.0,2,0.796,0.012742998077375669
Humanoid-v5,SAC,TD3,t-test,0.01,2.0,3,0.251,0.013711272734505722
Humanoid-v5,SAC,TD3,Welch t-test,0.01,2.0,3,0.1,0.009486832980505138
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,2.0,3,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,2.0,3,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,2.0,3,0.709,0.014363808687113596
Humanoid-v5,SAC,TD3,permutation,0.01,2.0,3,0.613,0.015402305022301045
Humanoid-v5,SAC,TD3,t-test,0.01,2.0,5,0.415,0.015581238718407466
Humanoid-v5,SAC,TD3,Welch t-test,0.01,2.0,5,0.284,0.014259873772232347
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,2.0,5,0.491,0.015808826648426505
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,2.0,5,0.562,0.01568935945155187
Humanoid-v5,SAC,TD3,bootstrap,0.01,2.0,5,0.78,0.01309961831505025
Humanoid-v5,SAC,TD3,permutation,0.01,2.0,5,0.553,0.01572230899073034
Humanoid-v5,SAC,TD3,t-test,0.01,2.0,10,0.91,0.009049861877399012
Humanoid-v5,SAC,TD3,Welch t-test,0.01,2.0,10,0.82,0.012149074038789953
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,2.0,10,0.729,0.014055568291606
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,2.0,10,0.767,0.013368283360252356
Humanoid-v5,SAC,TD3,bootstrap,0.01,2.0,10,0.974,0.005032295698784007
Humanoid-v5,SAC,TD3,permutation,0.01,2.0,10,0.909,0.009094998625618366
Humanoid-v5,SAC,TD3,t-test,0.01,2.0,20,1.0,0.0
Humanoid-v5,SAC,TD3,Welch t-test,0.01,2.0,20,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,2.0,20,0.992,0.0028170906978654425
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,2.0,20,0.996,0.0019959959919799443
Humanoid-v5,SAC,TD3,bootstrap,0.01,2.0,20,1.0,0.0
Humanoid-v5,SAC,TD3,permutation,0.01,2.0,20,1.0,0.0
Humanoid-v5,SAC,TD3,t-test,0.01,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,Welch t-test,0.01,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,permutation,0.01,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,t-test,0.01,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,Welch t-test,0.01,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,permutation,0.01,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,t-test,0.01,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Welch t-test,0.01,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,permutation,0.01,2.0,100,1.0,0.0
Humanoid-v5,SAC,DDPG,t-test,0.05,0.5,2,0.122,0.010349685985574635
Humanoid-v5,SAC,DDPG,Welch t-test,0.05,0.5,2,0.048,0.006759881655768835
Humanoid-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,2,0.0,0.0
Humanoid-v5,SAC,DDPG,Ranked t-test,0.05,0.5,2,0.001,0.0009994998749374609
Humanoid-v5,SAC,DDPG,bootstrap,0.05,0.5,2,0.496,0.01581088232832058
Humanoid-v5,SAC,DDPG,permutation,0.05,0.5,2,0.509,0.015808826648426505
Humanoid-v5,SAC,DDPG,t-test,0.05,0.5,3,0.118,0.01020176455325254
Humanoid-v5,SAC,DDPG,Welch t-test,0.05,0.5,3,0.064,0.007739767438366608
Humanoid-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,3,0.0,0.0
Humanoid-v5,SAC,DDPG,Ranked t-test,0.05,0.5,3,0.26,0.013870832707519763
Humanoid-v5,SAC,DDPG,bootstrap,0.05,0.5,3,0.308,0.014599178059055242
Humanoid-v5,SAC,DDPG,permutation,0.05,0.5,3,0.26,0.013870832707519763
Humanoid-v5,SAC,DDPG,t-test,0.05,0.5,5,0.14,0.010972693379476163
Humanoid-v5,SAC,DDPG,Welch t-test,0.05,0.5,5,0.091,0.009094998625618368
Humanoid-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,5,0.095,0.00927227048785787
Humanoid-v5,SAC,DDPG,Ranked t-test,0.05,0.5,5,0.091,0.009094998625618368
Humanoid-v5,SAC,DDPG,bootstrap,0.05,0.5,5,0.256,0.013800869537822608
Humanoid-v5,SAC,DDPG,permutation,0.05,0.5,5,0.179,0.01212266472356635
